time,alt,vs,vAcc,hs,hAcc,fuel,weight,angle,angSpeed,distance,NN
   0s,13748,-24.80m/s, 0.00m/s, 932.00m/s, 0.00m/s,120,285,58.3,0,181000,0
   1s,13723,-25.20m/s,-0.40m/s, 929.79m/s,-2.21m/s,119.89,284.89,58.28,-0.02,180068,0.5
   2s,13697.59,-25.61m/s,-0.40m/s, 927.58m/s,-2.21m/s,119.78,284.78,58.24,-0.03,179138.211,0.5
   3s,13671.79,-26.01m/s,-0.40m/s, 925.37m/s,-2.21m/s,119.67,284.67,58.18,-0.05,178210.632,0.5
   4s,13645.58,-26.41m/s,-0.40m/s, 923.15m/s,-2.21m/s,119.56,284.56,58.11,-0.06,177285.267,0.5
   5s,13618.96,-26.81m/s,-0.40m/s, 920.94m/s,-2.21m/s,119.44,284.45,58.03,-0.08,176362.114,0.5
   6s,13591.95,-27.22m/s,-0.40m/s, 918.72m/s,-2.21m/s,119.33,284.33,57.93,-0.09,175441.175,0.5
   7s,13564.53,-27.62m/s,-0.40m/s, 916.51m/s,-2.22m/s,119.22,284.22,57.81,-0.11,174522.451,0.5
   8s,13536.71,-28.02m/s,-0.40m/s, 914.29m/s,-2.22m/s,119.11,284.11,57.68,-0.12,173605.943,0.5
   9s,13508.48,-28.43m/s,-0.40m/s, 912.07m/s,-2.22m/s,119,284,57.53,-0.14,172691.651,0.5
  10s,13479.85,-28.83m/s,-0.40m/s, 909.86m/s,-2.22m/s,118.89,283.89,57.37,-0.16,171779.577,0.5
  11s,13450.82,-29.23m/s,-0.40m/s, 907.64m/s,-2.22m/s,118.78,283.78,57.19,-0.17,170869.721,0.5
  12s,13421.39,-29.64m/s,-0.40m/s, 905.42m/s,-2.22m/s,118.67,283.67,56.99,-0.19,169962.085,0.5
  13s,13391.55,-30.04m/s,-0.40m/s, 903.20m/s,-2.22m/s,118.56,283.56,56.78,-0.2,169056.668,0.5
  14s,13361.31,-30.44m/s,-0.40m/s, 900.97m/s,-2.22m/s,118.45,283.45,56.56,-0.22,168153.472,0.5
  15s,13330.67,-30.84m/s,-0.40m/s, 898.75m/s,-2.22m/s,118.33,283.33,56.31,-0.23,167252.498,0.5
  16s,13299.62,-31.25m/s,-0.40m/s, 896.53m/s,-2.22m/s,118.22,283.22,56.06,-0.25,166353.747,0.5
  17s,13268.18,-31.65m/s,-0.40m/s, 894.30m/s,-2.22m/s,118.11,283.11,55.78,-0.27,165457.219,0.5
  18s,13236.32,-32.05m/s,-0.40m/s, 892.08m/s,-2.23m/s,118,283,55.5,-0.28,164562.915,0.5
  19s,13204.07,-32.46m/s,-0.40m/s, 889.85m/s,-2.23m/s,117.89,282.89,55.19,-0.3,163670.837,0.5
  20s,13171.41,-32.86m/s,-0.40m/s, 887.63m/s,-2.23m/s,117.78,282.78,54.87,-0.31,162780.985,0.5
  21s,13138.35,-33.26m/s,-0.40m/s, 885.40m/s,-2.23m/s,117.67,282.67,54.56,-0.31,161893.36,0.5
  22s,13104.89,-33.67m/s,-0.40m/s, 883.17m/s,-2.23m/s,117.56,282.56,54.24,-0.31,161007.963,0.5
  23s,13071.02,-34.07m/s,-0.40m/s, 880.94m/s,-2.23m/s,117.45,282.45,53.93,-0.31,160124.794,0.5
  24s,13036.75,-34.47m/s,-0.40m/s, 878.71m/s,-2.23m/s,117.34,282.34,53.62,-0.31,159243.856,0.5
  25s,13002.08,-34.87m/s,-0.40m/s, 876.48m/s,-2.23m/s,117.22,282.22,53.31,-0.31,158365.147,0.5
  26s,12967,-35.28m/s,-0.40m/s, 874.24m/s,-2.23m/s,117.11,282.11,52.99,-0.31,157488.67,0.5
