Time,Alt,V-Speed,V-Acc,H-Speed,H-Acc,Fuel,Weight,Angle,A-Speed,A-Acc
   0s, 13748.00,-24.80m/s, 0.00m/s², 932.00m/s, 0.00m/s²,121.00,286.00,58.30°, 0.00, 0.000
   1s, 13723.00,-25.20m/s,-0.40m/s², 929.80m/s,-2.20m/s²,120.78,285.78,58.28°,-0.02,-0.017
   2s, 13697.59,-25.61m/s,-0.40m/s², 927.59m/s,-2.20m/s²,120.56,285.56,58.23°,-0.03,-0.017
   3s, 13671.79,-26.01m/s,-0.40m/s², 925.39m/s,-2.21m/s²,120.33,285.33,58.17°,-0.05,-0.017
   4s, 13645.58,-26.41m/s,-0.40m/s², 923.18m/s,-2.21m/s²,120.11,285.11,58.10°,-0.07,-0.017
   5s, 13618.96,-26.81m/s,-0.40m/s², 920.97m/s,-2.21m/s²,119.89,284.89,58.01°,-0.08,-0.017
   6s, 13591.95,-27.22m/s,-0.40m/s², 918.76m/s,-2.21m/s²,119.67,284.67,57.90°,-0.10,-0.017
   7s, 13564.53,-27.62m/s,-0.40m/s², 916.54m/s,-2.21m/s²,119.45,284.45,57.77°,-0.12,-0.017
   8s, 13536.71,-28.02m/s,-0.40m/s², 914.33m/s,-2.21m/s²,119.22,284.22,57.63°,-0.13,-0.017
   9s, 13508.48,-28.43m/s,-0.40m/s², 912.11m/s,-2.22m/s²,119.00,284.00,57.47°,-0.15,-0.017
  10s, 13479.85,-28.83m/s,-0.40m/s², 909.89m/s,-2.22m/s²,118.78,283.78,57.30°,-0.17,-0.017
  11s, 13450.82,-29.23m/s,-0.40m/s², 907.67m/s,-2.22m/s²,118.56,283.56,57.10°,-0.18,-0.017
  12s, 13421.39,-29.64m/s,-0.40m/s², 905.45m/s,-2.22m/s²,118.34,283.34,56.89°,-0.20,-0.017
  13s, 13391.55,-30.04m/s,-0.40m/s², 903.23m/s,-2.22m/s²,118.11,283.11,56.67°,-0.22,-0.017
  14s, 13361.31,-30.44m/s,-0.40m/s², 901.00m/s,-2.23m/s²,117.89,282.89,56.42°,-0.24,-0.017
  15s, 13330.67,-30.84m/s,-0.40m/s², 898.78m/s,-2.23m/s²,117.67,282.67,56.16°,-0.25,-0.017
  16s, 13299.62,-31.25m/s,-0.40m/s², 896.55m/s,-2.23m/s²,117.45,282.45,55.88°,-0.27,-0.017
  17s, 13268.18,-31.65m/s,-0.40m/s², 894.32m/s,-2.23m/s²,117.23,282.23,55.59°,-0.29,-0.017
  18s, 13236.32,-32.05m/s,-0.40m/s², 892.09m/s,-2.23m/s²,117.00,282.00,55.28°,-0.30,-0.017
  19s, 13204.07,-32.46m/s,-0.40m/s², 889.85m/s,-2.23m/s²,116.78,281.78,54.97°,-0.30, 0.000
  20s, 13171.41,-32.86m/s,-0.40m/s², 887.62m/s,-2.24m/s²,116.56,281.56,54.67°,-0.30, 0.000
  21s, 13138.35,-33.26m/s,-0.40m/s², 885.38m/s,-2.24m/s²,116.34,281.34,54.36°,-0.30, 0.000
  22s, 13104.89,-33.67m/s,-0.40m/s², 883.14m/s,-2.24m/s²,116.12,281.12,54.06°,-0.30, 0.000
  23s, 13071.02,-34.07m/s,-0.40m/s², 880.90m/s,-2.24m/s²,115.89,280.89,53.76°,-0.30, 0.000
  24s, 13036.75,-34.47m/s,-0.40m/s², 878.66m/s,-2.24m/s²,115.67,280.67,53.45°,-0.30, 0.000
  25s, 13002.08,-34.87m/s,-0.40m/s², 876.41m/s,-2.24m/s²,115.45,280.45,53.15°,-0.30, 0.000
  26s, 12967.00,-35.28m/s,-0.40m/s², 874.16m/s,-2.25m/s²,115.23,280.23,52.84°,-0.30, 0.000
  27s, 12931.52,-35.68m/s,-0.40m/s², 871.92m/s,-2.25m/s²,115.01,280.01,52.54°,-0.30, 0.000
  28s, 12895.64,-36.08m/s,-0.40m/s², 869.67m/s,-2.25m/s²,114.78,279.78,52.24°,-0.30, 0.000
  29s, 12859.36,-36.49m/s,-0.40m/s², 867.41m/s,-2.25m/s²,114.56,279.56,51.93°,-0.30, 0.000
  30s, 12822.67,-36.89m/s,-0.40m/s², 865.16m/s,-2.25m/s²,114.34,279.34,51.63°,-0.30, 0.000
  31s, 12785.58,-37.29m/s,-0.40m/s², 862.91m/s,-2.26m/s²,114.12,279.12,51.33°,-0.30, 0.000
  32s, 12748.08,-37.70m/s,-0.40m/s², 860.65m/s,-2.26m/s²,113.90,278.90,51.02°,-0.30, 0.000
  33s, 12710.18,-38.10m/s,-0.40m/s², 858.39m/s,-2.26m/s²,113.67,278.67,50.72°,-0.30, 0.000
  34s, 12671.88,-38.50m/s,-0.40m/s², 856.13m/s,-2.26m/s²,113.45,278.45,50.41°,-0.30, 0.000
  35s, 12633.18,-38.91m/s,-0.40m/s², 853.87m/s,-2.26m/s²,113.23,278.23,50.11°,-0.30, 0.000
  36s, 12594.07,-39.31m/s,-0.40m/s², 851.60m/s,-2.26m/s²,113.01,278.01,49.81°,-0.30, 0.000
  37s, 12554.56,-39.71m/s,-0.40m/s², 849.34m/s,-2.27m/s²,112.79,277.79,49.50°,-0.30, 0.000
  38s, 12514.65,-40.12m/s,-0.40m/s², 847.07m/s,-2.27m/s²,112.56,277.56,49.20°,-0.30, 0.000
  39s, 12474.33,-40.52m/s,-0.40m/s², 844.80m/s,-2.27m/s²,112.34,277.34,48.90°,-0.30, 0.000
  40s, 12433.61,-40.92m/s,-0.40m/s², 842.53m/s,-2.27m/s²,112.12,277.12,48.59°,-0.30, 0.000
  41s, 12392.49,-41.32m/s,-0.40m/s², 840.25m/s,-2.27m/s²,111.90,276.90,48.29°,-0.30, 0.000
  42s, 12350.96,-41.73m/s,-0.40m/s², 837.98m/s,-2.28m/s²,111.68,276.68,47.98°,-0.30, 0.000
  43s, 12309.03,-42.13m/s,-0.40m/s², 835.70m/s,-2.28m/s²,111.45,276.45,47.68°,-0.30, 0.000
  44s, 12266.70,-42.53m/s,-0.40m/s², 833.42m/s,-2.28m/s²,111.23,276.23,47.38°,-0.30, 0.000
  45s, 12223.96,-42.94m/s,-0.40m/s², 831.14m/s,-2.28m/s²,111.01,276.01,47.07°,-0.30, 0.000
  46s, 12180.82,-43.34m/s,-0.40m/s², 828.86m/s,-2.28m/s²,110.79,275.79,46.77°,-0.30, 0.000
  47s, 12137.28,-43.74m/s,-0.40m/s², 826.57m/s,-2.28m/s²,110.57,275.57,46.47°,-0.30, 0.000
  48s, 12093.34,-44.15m/s,-0.40m/s², 824.29m/s,-2.29m/s²,110.34,275.34,46.16°,-0.30, 0.000
  49s, 12048.99,-44.55m/s,-0.40m/s², 822.00m/s,-2.29m/s²,110.12,275.12,45.86°,-0.30, 0.000
  50s, 12004.23,-44.95m/s,-0.40m/s², 819.71m/s,-2.29m/s²,109.90,274.90,45.55°,-0.30, 0.000
  51s, 11959.08,-45.36m/s,-0.40m/s², 817.42m/s,-2.29m/s²,109.68,274.68,45.25°,-0.30, 0.000
  52s, 11913.52,-45.76m/s,-0.40m/s², 815.12m/s,-2.29m/s²,109.46,274.46,44.95°,-0.30, 0.000
  53s, 11867.56,-46.16m/s,-0.40m/s², 812.83m/s,-2.30m/s²,109.23,274.23,44.64°,-0.30, 0.000
  54s, 11821.19,-46.57m/s,-0.40m/s², 810.53m/s,-2.30m/s²,109.01,274.01,44.34°,-0.30, 0.000
  55s, 11774.42,-46.97m/s,-0.40m/s², 808.23m/s,-2.30m/s²,108.79,273.79,44.04°,-0.30, 0.000
  56s, 11727.25,-47.37m/s,-0.40m/s², 805.93m/s,-2.30m/s²,108.57,273.57,43.73°,-0.30, 0.000
  57s, 11679.68,-47.78m/s,-0.40m/s², 803.63m/s,-2.30m/s²,108.35,273.35,43.43°,-0.30, 0.000
  58s, 11631.70,-48.18m/s,-0.40m/s², 801.32m/s,-2.30m/s²,108.12,273.12,43.12°,-0.30, 0.000
  59s, 11583.31,-48.58m/s,-0.40m/s², 799.02m/s,-2.31m/s²,107.90,272.90,42.82°,-0.30, 0.000
  60s, 11534.53,-48.99m/s,-0.40m/s², 796.71m/s,-2.31m/s²,107.68,272.68,42.52°,-0.30, 0.000
  61s, 11485.34,-49.39m/s,-0.40m/s², 794.40m/s,-2.31m/s²,107.46,272.46,42.21°,-0.30, 0.000
  62s, 11435.75,-49.79m/s,-0.40m/s², 792.09m/s,-2.31m/s²,107.24,272.24,41.91°,-0.30, 0.000
  63s, 11385.75,-50.20m/s,-0.40m/s², 789.77m/s,-2.31m/s²,107.01,272.01,41.61°,-0.30, 0.000
  64s, 11335.35,-50.60m/s,-0.40m/s², 787.46m/s,-2.32m/s²,106.79,271.79,41.30°,-0.30, 0.000
  65s, 11284.55,-51.00m/s,-0.40m/s², 785.14m/s,-2.32m/s²,106.57,271.57,41.00°,-0.30, 0.000
  66s, 11233.34,-51.41m/s,-0.40m/s², 782.82m/s,-2.32m/s²,106.35,271.35,40.69°,-0.30, 0.000
  67s, 11181.73,-51.81m/s,-0.40m/s², 780.50m/s,-2.32m/s²,106.13,271.13,40.39°,-0.30, 0.000
  68s, 11129.72,-52.22m/s,-0.40m/s², 778.17m/s,-2.32m/s²,105.90,270.90,40.09°,-0.30, 0.000
  69s, 11077.30,-52.62m/s,-0.40m/s², 775.85m/s,-2.33m/s²,105.68,270.68,39.78°,-0.30, 0.000
  70s, 11024.48,-53.02m/s,-0.40m/s², 773.52m/s,-2.33m/s²,105.46,270.46,39.48°,-0.30, 0.000
  71s, 10971.26,-53.43m/s,-0.40m/s², 771.19m/s,-2.33m/s²,105.24,270.24,39.18°,-0.30, 0.000
  72s, 10917.63,-53.83m/s,-0.40m/s², 768.86m/s,-2.33m/s²,105.02,270.02,38.87°,-0.30, 0.000
  73s, 10863.60,-54.23m/s,-0.40m/s², 766.53m/s,-2.33m/s²,104.79,269.79,38.57°,-0.30, 0.000
  74s, 10809.16,-54.64m/s,-0.40m/s², 764.19m/s,-2.34m/s²,104.57,269.57,38.26°,-0.30, 0.000
  75s, 10754.33,-55.04m/s,-0.40m/s², 761.85m/s,-2.34m/s²,104.35,269.35,37.96°,-0.30, 0.000
  76s, 10699.08,-55.44m/s,-0.40m/s², 759.52m/s,-2.34m/s²,104.13,269.13,37.66°,-0.30, 0.000
  77s, 10643.44,-55.85m/s,-0.40m/s², 757.17m/s,-2.34m/s²,103.91,268.91,37.35°,-0.30, 0.000
  78s, 10587.39,-56.25m/s,-0.40m/s², 754.83m/s,-2.34m/s²,103.68,268.68,37.05°,-0.30, 0.000
  79s, 10530.94,-56.65m/s,-0.40m/s², 752.49m/s,-2.34m/s²,103.46,268.46,36.75°,-0.30, 0.000
  80s, 10474.08,-57.06m/s,-0.40m/s², 750.14m/s,-2.35m/s²,103.24,268.24,36.44°,-0.30, 0.000
  81s, 10416.82,-57.46m/s,-0.40m/s², 747.79m/s,-2.35m/s²,103.02,268.02,36.14°,-0.30, 0.000
  82s, 10359.16,-57.87m/s,-0.40m/s², 745.44m/s,-2.35m/s²,102.80,267.80,35.83°,-0.30, 0.000
  83s, 10301.09,-58.27m/s,-0.40m/s², 743.09m/s,-2.35m/s²,102.57,267.57,35.53°,-0.30, 0.000
  84s, 10242.62,-58.67m/s,-0.40m/s², 740.73m/s,-2.35m/s²,102.35,267.35,35.23°,-0.30, 0.000
  85s, 10183.75,-59.08m/s,-0.40m/s², 738.38m/s,-2.36m/s²,102.13,267.13,34.92°,-0.30, 0.000
  86s, 10124.47,-59.48m/s,-0.40m/s², 736.02m/s,-2.36m/s²,101.91,266.91,34.62°,-0.30, 0.000
  87s, 10064.79,-59.88m/s,-0.40m/s², 733.66m/s,-2.36m/s²,101.69,266.69,34.32°,-0.30, 0.000
  88s, 10004.70,-60.29m/s,-0.40m/s², 731.30m/s,-2.36m/s²,101.46,266.46,34.01°,-0.30, 0.000
  89s,  9944.21,-60.69m/s,-0.40m/s², 728.93m/s,-2.36m/s²,101.24,266.24,33.71°,-0.30, 0.000
  90s,  9884.50,-58.73m/s, 1.96m/s², 726.57m/s,-2.37m/s²,101.02,266.02,33.40°,-0.30, 0.000
